Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1074480,Kaki Lima Liar,-6.187002,106.830421,Kebon Sirih,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1074481,Kaki Lima Liar,-6.186944,106.830208,Kebon Sirih,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1074687,Kaki Lima Liar,-6.184926,106.811012,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1074760,Kaki Lima Liar,-6.159961,106.819916,Kebon Kelapa,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1074920,Kaki Lima Liar,-6.167172,106.830498,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1075008,Kaki Lima Liar,-6.177624,106.817848,Petojo Selatan,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1075011,Kaki Lima Liar,-6.177708,106.816772,Petojo Selatan,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1075196,Kaki Lima Liar,-6.190263,106.843796,Kenari,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1075383,Kaki Lima Liar,-6.202756,106.84391,Menteng,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1076242,Kaki Lima Liar,-6.202863,106.844116,Menteng,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1077168,Kaki Lima Liar,-6.162247,106.843628,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1077192,Kaki Lima Liar,-6.204543,106.799942,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1077433,Kaki Lima Liar,-6.194579,106.820602,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1077511,Kaki Lima Liar,-6.166385,106.802322,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1078190,Kaki Lima Liar,-6.20275,106.8442,Menteng,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1078376,Kaki Lima Liar,-6.168178,106.830299,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1079214,Kaki Lima Liar,-6.142487,106.83371,Gunung Sahari Utara,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
